colour,tone,season,llm_content,llm_content_metric_attempts_used,metric_attempts_used,retry_attempts,retry_max_attempts,retry_history
red,dark,autumn,Red Fox,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.53763747215271}]"
blue,dark,winter,Polar Bear,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6303489208221436}]"
green,light,spring,Greenfinch,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6336615085601807}]"
yellow,light,summer,Butterfly,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6239080429077148}]"
orange,light,autumn,HarvestMouse,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6281793117523193}]"
purple,dark,winter,Polar Bear,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.62921142578125}]"
pink,light,spring,Flamingo,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6355984210968018}]"
brown,dark,autumn,Brown Bear,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.538743257522583}]"
black,dark,winter,Polar Bear,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6290676593780518}]"
white,light,winter,Polar Bear,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.629901647567749}]"
gray,neutral,winter,Gray Wolf,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6381654739379883}]"
silver,neutral,winter,Arctic Fox,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6294872760772705}]"
gold,light,summer,Sunfish,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.5344481468200684}]"
beige,light,spring,Honeybee,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.641350269317627}]"
maroon,dark,autumn,Brown Bear,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.5434093475341797}]"
navy,dark,winter,Polar Bear,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6371824741363525}]"
teal,neutral,spring,Peacock,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.5531356334686279}]"
turquoise,light,summer,Parrot,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.5588834285736084}]"
lavender,light,spring,Lavender Finch,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.7312304973602295}]"
magenta,light,summer,Flamingo,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6314868927001953}]"
cyan,light,summer,Parrot,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.5361440181732178}]"
indigo,dark,winter,Polar Bear,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6377773284912109}]"
violet,dark,winter,Arctic Fox,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6350622177124023}]"
peach,light,spring,Peach Blossom Finch,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.8190209865570068}]"
lime,light,spring,Greenfinch,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6356527805328369}]"
olive,dark,autumn,Olive Drake,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6308319568634033}]"
mint,light,spring,Butterfly,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6356136798858643}]"
coral,light,summer,Flamingo,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6300551891326904}]"
salmon,light,summer,Flamingo,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6304140090942383}]"
plum,dark,autumn,Plum,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.540632963180542}]"
emerald,dark,winter,EmeraldGreenParrot,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.8221855163574219}]"
amber,light,autumn,Honeybadger,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.7140898704528809}]"
azure,light,summer,"Azure
Bluefin Tuna",1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.892540454864502}]"
mustard,dark,autumn,Harvest Mole,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.7208304405212402}]"
scarlet,dark,autumn,Red Fox,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.5417180061340332}]"
cerulean,light,summer,Bluefin Tuna,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.7234303951263428}]"
charcoal,dark,winter,Polar Bear,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6349220275878906}]"
cream,light,spring,Butterfly,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6370420455932617}]"
tan,light,summer,Tiger,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.5336246490478516}]"
burgundy,dark,autumn,Brown Bear,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6221776008605957}]"
crimson,dark,winter,Polar Bear,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6388654708862305}]"
fuchsia,light,summer,Flamingo,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6320517063140869}]"
khaki,neutral,summer,Chameleon,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.5507721900939941}]"
saffron,light,summer,Peacock,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.5463085174560547}]"
sepia,dark,autumn,Elephant,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.5412747859954834}]"
taupe,neutral,autumn,Mole,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.5403022766113281}]"
aquamarine,light,summer,Flamingo,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6347887516021729}]"
forest,dark,autumn,Brown Bear,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.5349364280700684}]"
periwinkle,light,spring,Bluebell Toad,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.734980583190918}]"
raspberry,dark,summer,Flamingo,1,1,1,1,"[{""attempt"": 1, ""status"": ""success"", ""duration"": 0.6385583877563477}]"
